Date,Entry,Item,Amount,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
"January 6, 2019",Dinner,Mezzetta - Roasted Garlic & Carmelized Onion Sauce,1 cup,200,22g,10g,4g,0mg,"1,020mg",12g,6g
"January 6, 2019",Dinner,"Produce - Broccholi, Chopped, Boiled",0.5 cup (78g),27,6g,0g,2g,--mg,32mg,1g,3g
"January 6, 2019",Dinner,Thrive - Sausage Crumbles,0.25 cup,135,1g,12g,8g,28mg,280mg,0g,0g
"January 6, 2019",Dinner,Eggs - Hard Boiled - Large,1 egg,78,1g,5g,6g,212mg,62mg,1g,0g
"January 6, 2019",Dinner,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 6, 2019",Dinner,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 6, 2019",Dinner,Dole - Pineapple Slice,1 slices,30,8g,0g,1g,0mg,5mg,7g,1g
"January 6, 2019",Dinner,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 6, 2019",Dinner,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 6, 2019",Dinner,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 6, 2019",Dinner,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 6, 2019",Dinner,Organics roasted cashews - Cashews,3 oz,480,27g,39g,12g,0mg,285mg,3g,3g
"January 6, 2019",Snacks,Mezzetta - Roasted Garlic & Carmelized Onion Sauce,1 cup,200,22g,10g,4g,0mg,"1,020mg",12g,6g
"January 6, 2019",Snacks,"Produce - Broccholi, Chopped, Boiled",0.5 cup (78g),27,6g,0g,2g,--mg,32mg,1g,3g
"January 6, 2019",Snacks,Thrive - Sausage Crumbles,0.25 cup,135,1g,12g,8g,28mg,280mg,0g,0g
"January 6, 2019",Snacks,Eggs - Hard Boiled - Large,1 egg,78,1g,5g,6g,212mg,62mg,1g,0g
"January 6, 2019",Snacks,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 6, 2019",Snacks,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 6, 2019",Snacks,Dole - Pineapple Slice,1 slices,30,8g,0g,1g,0mg,5mg,7g,1g
"January 6, 2019",Snacks,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 6, 2019",Snacks,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 6, 2019",Snacks,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 6, 2019",Snacks,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 6, 2019",Snacks,Organics roasted cashews - Cashews,3 oz,480,27g,39g,12g,0mg,285mg,3g,3g
"January 7, 2019",Breakfast,Frozen - Shrimp,3 oz,100,0g,2g,21g,170mg,468mg,0g,0g
"January 7, 2019",Breakfast,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 7, 2019",Breakfast,"Kale, raw, 2 cup",chopped,66,12g,1g,6g,0mg,51mg,3g,5g
"January 7, 2019",Breakfast,Dole - Pineapple Slice,2 slices,60,15g,0g,1g,0mg,10mg,14g,1g
"January 7, 2019",Breakfast,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 7, 2019",Breakfast,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 7, 2019",Breakfast,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 7, 2019",Breakfast,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 7, 2019",Breakfast,"Seeds, sunflower seed kernels, dry roasted, with salt added",1 cup,745,31g,64g,25g,0mg,838mg,3g,12g
"January 7, 2019",Breakfast,Thompson Raisins - Raisin,1.5 c,600,150g,0g,6g,0mg,60mg,138g,12g
"January 7, 2019",Lunch,Frozen - Shrimp,3 oz,100,0g,2g,21g,170mg,468mg,0g,0g
"January 7, 2019",Lunch,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 7, 2019",Lunch,"Kale, raw, 2 cup",chopped,66,12g,1g,6g,0mg,51mg,3g,5g
"January 7, 2019",Lunch,Dole - Pineapple Slice,2 slices,60,15g,0g,1g,0mg,10mg,14g,1g
"January 7, 2019",Lunch,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 7, 2019",Lunch,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 7, 2019",Lunch,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 7, 2019",Lunch,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 7, 2019",Lunch,"Seeds, sunflower seed kernels, dry roasted, with salt added",1 cup,745,31g,64g,25g,0mg,838mg,3g,12g
"January 7, 2019",Lunch,Thompson Raisins - Raisin,1.5 c,600,150g,0g,6g,0mg,60mg,138g,12g
"January 7, 2019",Dinner,Frozen - Shrimp,3 oz,100,0g,2g,21g,170mg,468mg,0g,0g
"January 7, 2019",Dinner,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 7, 2019",Dinner,"Kale, raw, 2 cup",chopped,66,12g,1g,6g,0mg,51mg,3g,5g
"January 7, 2019",Dinner,Dole - Pineapple Slice,2 slices,60,15g,0g,1g,0mg,10mg,14g,1g
"January 7, 2019",Dinner,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 7, 2019",Dinner,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 7, 2019",Dinner,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 7, 2019",Dinner,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 7, 2019",Dinner,"Seeds, sunflower seed kernels, dry roasted, with salt added",1 cup,745,31g,64g,25g,0mg,838mg,3g,12g
"January 7, 2019",Dinner,Thompson Raisins - Raisin,1.5 c,600,150g,0g,6g,0mg,60mg,138g,12g
"January 8, 2019",Breakfast,Baked Cod - Baked Cod,4.8 oz,166,1g,5g,28g,59mg,552mg,0g,0g
"January 8, 2019",Breakfast,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 8, 2019",Breakfast,thrive life - freeze dried kale,1 C,10,1g,0g,1g,0mg,7mg,0g,1g
"January 8, 2019",Breakfast,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 8, 2019",Breakfast,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 8, 2019",Breakfast,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 8, 2019",Breakfast,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 8, 2019",Breakfast,Dole - Pineapple Slice,2 slices,60,15g,0g,1g,0mg,10mg,14g,1g
"January 8, 2019",Breakfast,Thrive Life - Zucchini - Freeze Dried,1 cups,60,8g,0g,4g,0mg,0mg,4g,4g
"January 8, 2019",Breakfast,Thrive - Sausage Crumbles,0.25 cup,135,1g,12g,8g,28mg,280mg,0g,0g
"January 8, 2019",Breakfast,Mezzetta - Roasted Garlic & Carmelized Onion Sauce,1 cup,200,22g,10g,4g,0mg,"1,020mg",12g,6g
"January 8, 2019",Breakfast,Organics roasted cashews - Cashews,3 oz,480,27g,39g,12g,0mg,285mg,3g,3g
"January 8, 2019",Lunch,Baked Cod - Baked Cod,4.8 oz,166,1g,5g,28g,59mg,552mg,0g,0g
"January 8, 2019",Lunch,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 8, 2019",Lunch,thrive life - freeze dried kale,1 C,10,1g,0g,1g,0mg,7mg,0g,1g
"January 8, 2019",Lunch,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 8, 2019",Lunch,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 8, 2019",Lunch,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 8, 2019",Lunch,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 8, 2019",Lunch,Dole - Pineapple Slice,2 slices,60,15g,0g,1g,0mg,10mg,14g,1g
"January 8, 2019",Lunch,Thrive Life - Zucchini - Freeze Dried,1 cups,60,8g,0g,4g,0mg,0mg,4g,4g
"January 8, 2019",Lunch,Thrive - Sausage Crumbles,0.25 cup,135,1g,12g,8g,28mg,280mg,0g,0g
"January 8, 2019",Lunch,Mezzetta - Roasted Garlic & Carmelized Onion Sauce,1 cup,200,22g,10g,4g,0mg,"1,020mg",12g,6g
"January 8, 2019",Lunch,Organics roasted cashews - Cashews,3 oz,480,27g,39g,12g,0mg,285mg,3g,3g
"January 8, 2019",Dinner,Baked Cod - Baked Cod,4.8 oz,166,1g,5g,28g,59mg,552mg,0g,0g
"January 8, 2019",Dinner,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 8, 2019",Dinner,thrive life - freeze dried kale,1 C,10,1g,0g,1g,0mg,7mg,0g,1g
"January 8, 2019",Dinner,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 8, 2019",Dinner,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 8, 2019",Dinner,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 8, 2019",Dinner,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 8, 2019",Dinner,Dole - Pineapple Slice,2 slices,60,15g,0g,1g,0mg,10mg,14g,1g
"January 8, 2019",Dinner,Thrive Life - Zucchini - Freeze Dried,1 cups,60,8g,0g,4g,0mg,0mg,4g,4g
"January 8, 2019",Dinner,Thrive - Sausage Crumbles,0.25 cup,135,1g,12g,8g,28mg,280mg,0g,0g
"January 8, 2019",Dinner,Mezzetta - Roasted Garlic & Carmelized Onion Sauce,1 cup,200,22g,10g,4g,0mg,"1,020mg",12g,6g
"January 8, 2019",Dinner,Organics roasted cashews - Cashews,3 oz,480,27g,39g,12g,0mg,285mg,3g,3g
"January 8, 2019",Snacks,Baked Cod - Baked Cod,4.8 oz,166,1g,5g,28g,59mg,552mg,0g,0g
"January 8, 2019",Snacks,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 8, 2019",Snacks,thrive life - freeze dried kale,1 C,10,1g,0g,1g,0mg,7mg,0g,1g
"January 8, 2019",Snacks,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 8, 2019",Snacks,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 8, 2019",Snacks,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 8, 2019",Snacks,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 8, 2019",Snacks,Dole - Pineapple Slice,2 slices,60,15g,0g,1g,0mg,10mg,14g,1g
"January 8, 2019",Snacks,Thrive Life - Zucchini - Freeze Dried,1 cups,60,8g,0g,4g,0mg,0mg,4g,4g
"January 8, 2019",Snacks,Thrive - Sausage Crumbles,0.25 cup,135,1g,12g,8g,28mg,280mg,0g,0g
"January 8, 2019",Snacks,Mezzetta - Roasted Garlic & Carmelized Onion Sauce,1 cup,200,22g,10g,4g,0mg,"1,020mg",12g,6g
"January 8, 2019",Snacks,Organics roasted cashews - Cashews,3 oz,480,27g,39g,12g,0mg,285mg,3g,3g
"January 9, 2019",Breakfast,"Produce - Broccholi, Chopped, Boiled",0.5 cup (78g),27,6g,0g,2g,--mg,32mg,1g,3g
"January 9, 2019",Breakfast,Mezzetta - Roasted Garlic & Carmelized Onion Sauce,1 cup,200,22g,10g,4g,0mg,"1,020mg",12g,6g
"January 9, 2019",Breakfast,Thrive - Sausage Crumbles,0.25 cup,135,1g,12g,8g,28mg,280mg,0g,0g
"January 9, 2019",Breakfast,Organics roasted cashews - Cashews,3 oz,480,27g,39g,12g,0mg,285mg,3g,3g
"January 9, 2019",Breakfast,Thompson Raisins - Raisin,0.75 c,300,75g,0g,3g,0mg,30mg,69g,6g
"January 9, 2019",Breakfast,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 9, 2019",Breakfast,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 9, 2019",Breakfast,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 9, 2019",Breakfast,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 9, 2019",Breakfast,Dole - Pineapple Slice,2 slices,60,15g,0g,1g,0mg,10mg,14g,1g
"January 9, 2019",Breakfast,"Kale, raw, 2 cup",chopped,66,12g,1g,6g,0mg,51mg,3g,5g
"January 9, 2019",Lunch,"Produce - Broccholi, Chopped, Boiled",0.5 cup (78g),27,6g,0g,2g,--mg,32mg,1g,3g
"January 9, 2019",Lunch,Mezzetta - Roasted Garlic & Carmelized Onion Sauce,1 cup,200,22g,10g,4g,0mg,"1,020mg",12g,6g
"January 9, 2019",Lunch,Thrive - Sausage Crumbles,0.25 cup,135,1g,12g,8g,28mg,280mg,0g,0g
"January 9, 2019",Lunch,Organics roasted cashews - Cashews,3 oz,480,27g,39g,12g,0mg,285mg,3g,3g
